location,name,dm,cost_date,dcp_food,dcp_paper,dcp_supplies,br_supplies,sales_tax_dcp,for_the_week_end,production,total_food_cost,total_paper_cost,flash_food_total
330187,"2248 Centr Park Ave, Yonk",Irfan Mamsa,2025-06-04,0,0,0,0,0,0,224.6,224.6,0,224.6
354655,"1 Pallisade Ave, Getty Sq",Irfan Mamsa,2025-06-04,0,0,0,0,0,0,133.93,133.93,0,133.93
349796,"296 McLean Ave, Yonkers",Irfan Mamsa,2025-06-04,0,0,0,0,0,0,132.27,132.27,0,132.27
350605,235 Blythewood Rd,Jasper Cureton,2025-06-04,3611.13,398.58,76.67,0,6.65,4093.03,0,3617.78,475.25,4093.03
350096,"2933 N. Main Str, Anderson",Kayle Cash,2025-06-04,2731.28,645.92,246.18,0,22.31,3645.69,0,2753.59,892.1,3645.69
356749,"3421 Hwy153, Powdersville",Kayle Cash,2025-06-04,3427.85,573.59,193.39,0,19.93,4214.76,0,3447.78,766.98,4214.76
345196,"2903 N. Pleas. Dr, Greenv",Kayle Cash,2025-06-04,2115.79,647.06,140.65,0,15.74,2919.24,0,2131.53,787.71,2919.24
302065,"2423 Wade Hampt Bl, Greenv",Kayle Cash,2025-06-04,1620.79,801.77,35.64,0,9.16,2467.36,0,1629.95,837.41,2467.36
346516,"1068 Tiger Blvd, Clemson",Kayle Cash,2025-06-04,1707.9,152.49,140.29,0,10.26,2010.94,0,1718.16,292.78,2010.94
351661,"937 Lake Murray Bl, Irmo",Nathan Stephenson,2025-06-04,2348.24,609.87,85.45,0,6.99,3050.55,0,2355.23,695.32,3050.55
350817,"1123 S. Lake Dr, Lexington",Nathan Stephenson,2025-06-04,2356.49,368.81,316.76,0,23.31,3065.37,0,2379.8,685.57,3065.37
358804,"1131 Duth Fork Rd, Irmo",Nathan Stephenson,2025-06-04,2484.55,494.68,163.83,0,16.2,3159.26,0,2500.75,658.51,3159.26
348176,"25 North Salem Rd, CR",Brad McAllister,2026-02-27,0,0,0,0,0,0,88.51,88.51,0,88.51
345300,"425 Central Park Ave, WP",Brad McAllister,2026-02-27,0,0,0,0,0,0,128.94,128.94,0,128.94
310225,5 Goldens Bridge,Brad McAllister,2026-02-27,0,0,0,0,0,0,92.26,92.26,0,92.26
310249,"755 North Broadway, WP",Brad McAllister,2026-02-27,0,0,0,0,0,0,142.66,142.66,0,142.66
346154,"2 Washington Ave, Pl",Brad McAllister,2026-02-27,0,0,0,0,0,0,185.86,185.86,0,185.86
345229,"137 Wildey Str, Tarrytown",Brad McAllister,2026-02-27,0,0,0,0,0,0,145.03,145.03,0,145.03
330429,"570 Mamaroneck Ave, WP",Brad McAllister,2026-02-27,0,0,0,0,0,0,504.36,504.36,0,504.36
348508,"681 East Main Str, MK",Brad McAllister,2026-02-27,0,0,0,0,0,0,150.86,150.86,0,150.86
344719,"80 N. State Rd, Br Man",Brad McAllister,2026-02-27,0,0,0,0,0,0,165.44,165.44,0,165.44
330441,"42 Lake Str, WP",Brad McAllister,2026-02-27,0,0,0,0,0,0,213.45,213.45,0,213.45
331260,"505A Bedford Rd, Pl",Brad McAllister,2026-02-27,0,0,0,0,0,0,140.92,140.92,0,140.92
351953,"1333 North Ave, NR",Dan Castriota,2026-02-27,0,0,0,0,0,0,152.48,152.48,0,152.48
302692,"302692 -50 Mamaroneck Ave, WP",Dan Castriota,2026-02-27,0,0,0,0,0,0,193.46,193.46,0,193.46
310000,"646 North Ave,New Rochelle",Dan Castriota,2026-02-27,0,0,0,0,0,0,344.62,344.62,0,344.62
